date,day,food,food_conc,replicate,abs,chloro_conc,blanking,daphnia_count
15.2.2017,2,S,1,1,61.04,0.99,-4.696,3
15.2.2017,2,S,1,2,59.59,0.97,-4.696,3
15.2.2017,2,S,1,3,49.38,0.80,-4.696,3
15.2.2017,2,S,5,1,380.1,6.16,-4.696,3
15.2.2017,2,S,5,2,338.5,5.48,-4.696,3
15.2.2017,2,S,5,3,351.9,5.70,-4.696,3
15.2.2017,2,S,10,1,728.9,11.81,-4.696,3
15.2.2017,2,S,10,2,590,9.56,-4.696,3
15.2.2017,2,S,10,3,714.4,11.57,-4.696,3
15.2.2017,2,S,15,1,1199,19.42,-4.696,3
15.2.2017,2,S,15,2,1145,18.55,-4.696,3
15.2.2017,2,S,15,3,1138,18.44,-4.696,3
15.2.2017,2,S,20,1,1432,23.20,-4.696,3
15.2.2017,2,S,20,2,1507,24.41,-4.696,3
15.2.2017,2,S,20,3,1387,22.47,-4.696,3
15.2.2017,2,S,30,1,2040,33.05,-4.696,3
15.2.2017,2,S,30,2,2373,38.44,-4.696,3
15.2.2017,2,S,30,3,2302,37.29,-4.696,3
15.2.2017,2,S,40,1,3124,50.61,-4.696,3
15.2.2017,2,S,40,2,3100,50.22,-4.696,3
15.2.2017,2,S,40,3,3097,50.17,-4.696,3
16.2.2017,2,S,1,1,46.1,0.75,-6.382,4
16.2.2017,2,S,1,2,55.21,0.89,-6.382,4
16.2.2017,2,S,1,3,59.52,0.96,-6.382,4
16.2.2017,2,S,5,1,318.1,5.15,-6.382,4
16.2.2017,2,S,5,2,314.6,5.10,-6.382,4
16.2.2017,2,S,5,3,337.4,5.47,-6.382,4
16.2.2017,2,S,10,1,692.7,11.22,-6.382,4
16.2.2017,2,S,10,2,689.7,11.17,-6.382,4
16.2.2017,2,S,10,3,727.6,11.79,-6.382,4
16.2.2017,2,S,15,1,1102,17.85,-6.382,4
16.2.2017,2,S,15,2,1090,17.66,-6.382,4
16.2.2017,2,S,15,3,1126,18.24,-6.382,5
16.2.2017,2,S,20,1,1301,21.08,-6.382,4
16.2.2017,2,S,20,2,1414,22.91,-6.382,4
16.2.2017,2,S,20,3,1347,21.82,-6.382,4
16.2.2017,2,S,30,1,2076,33.63,-6.382,4
16.2.2017,2,S,30,2,2283,36.98,-6.382,4
16.2.2017,2,S,30,3,1980,32.08,-6.382,4
16.2.2017,2,S,40,1,2942,47.66,-6.382,4
16.2.2017,2,S,40,2,2962,47.98,-6.382,4
16.2.2017,2,S,40,3,2893,46.87,-6.382,1
17.2.2017,2,S,1,1,44.09,0.71,-6.766,4
17.2.2017,2,S,1,2,50.11,0.81,-6.766,4
17.2.2017,2,S,1,3,43.82,0.71,-6.766,4
17.2.2017,2,S,5,1,317.4,5.14,-6.766,4
17.2.2017,2,S,5,2,277.8,4.50,-6.766,4
17.2.2017,2,S,5,3,316.7,5.13,-6.766,4
17.2.2017,2,S,10,1,681.5,11.04,-6.766,4
17.2.2017,2,S,10,2,671.1,10.87,-6.766,4
17.2.2017,2,S,10,3,583.8,9.46,-6.766,4
17.2.2017,2,S,15,1,966.6,15.66,-6.766,4
17.2.2017,2,S,15,2,1000,16.20,-6.766,4
17.2.2017,2,S,15,3,984,15.94,-6.766,4
17.2.2017,2,S,20,1,1324,21.45,-6.766,4
17.2.2017,2,S,20,2,1348,21.84,-6.766,4
17.2.2017,2,S,20,3,1335,21.63,-6.766,5
17.2.2017,2,S,30,1,2142,34.70,-6.766,4
17.2.2017,2,S,30,2,2284,37.00,-6.766,4
17.2.2017,2,S,30,3,2278,36.90,-6.766,4
17.2.2017,2,S,40,1,3046,49.35,-6.766,4
17.2.2017,2,S,40,2,3006,48.70,-6.766,4
17.2.2017,2,S,40,3,3106,50.32,-6.766,4
