well,Reihe,Spalte,Slot,Futter_Hist,Futter_Quant,Replikat,Schiff,Schiff_Daphnien,Daphien_Anzahl,Trockenbiomasse,Ind_Gewicht,Startgewicht,Gewichtszunahme
1,A,1,A1,S,1,1,6.427,6.56,3,0.133,0.044,0.6531,-0.6087
1,A,2,A2,S,1,2,6.489,6.493,0,0.004,,0.6531,-0.6531
1,A,3,A3,S,1,3,6.51,6.672,4,0.162,0.041,0.6531,-0.6126
1,A,4,A4,S,5,1,6.54,6.889,4,0.349,0.087,0.6531,-0.5658
1,B,1,B1,S,5,2,6.416,6.784,4,0.368,0.092,0.6531,-0.5611
1,B,2,B2,S,5,3,6.404,6.716,4,0.312,0.078,0.6531,-0.5751
1,B,3,B3,S,10,1,6.485,6.553,1,0.068,0.068,0.6531,-0.5851
1,B,4,B4,S,10,2,6.475,6.839,4,0.364,0.091,0.6531,-0.5621
1,C,1,C1,S,10,3,6.478,6.58,2,0.102,0.051,0.6531,-0.6021
1,C,2,C2,S,15,1,6.476,6.954,4,0.478,0.120,0.6531,-0.5336
1,C,3,C3,S,15,2,6.539,6.723,2,0.184,0.092,0.6531,-0.5611
1,C,4,C4,S,15,3,6.433,6.674,4,0.241,0.060,0.6531,-0.5928
2,A,1,A1,S,20,1,6.428,6.439,1,0.011,0.011,0.6531,-0.6421
2,A,2,A2,S,20,2,6.311,6.372,3,0.061,0.020,0.6531,-0.6327
2,A,3,A3,S,20,3,6.516,6.557,4,0.041,0.010,0.6531,-0.6428
2,A,4,A4,S,30,1,6.424,6.485,1,0.061,0.061,0.6531,-0.5921
2,B,1,B1,S,30,2,6.372,6.593,4,0.221,0.055,0.6531,-0.5978
2,B,2,B2,S,30,3,6.49,6.678,2,0.188,0.094,0.6531,-0.5591
2,B,3,B3,S,40,1,6.407,6.488,3,0.081,0.027,0.6531,-0.6261
2,B,4,B4,S,40,2,6.39,6.745,3,0.355,0.118,0.6531,-0.5347
2,C,1,C1,S,40,3,6.533,6.583,3,0.05,0.017,0.6531,-0.6364
2,C,2,C2,SgDOM,1,1,6.39,6.458,3,0.068,0.023,0.6531,-0.6304
2,C,3,C3,SgDOM,1,2,6.573,6.661,4,0.088,0.022,0.6531,-0.6311
2,C,4,C4,SgDOM,1,3,6.492,6.582,4,0.09,0.023,0.6531,-0.6306
3,A,1,A1,SgDOM,5,1,6.309,6.566,4,0.257,0.064,0.6531,-0.5888
3,A,2,A2,SgDOM,5,2,6.48,6.627,3,0.147,0.049,0.6531,-0.6041
3,A,3,A3,SgDOM,5,3,6.438,6.575,2,0.137,0.069,0.6531,-0.5846
3,A,4,A4,SgDOM,10,1,6.555,6.612,3,0.057,0.019,0.6531,-0.6341
3,B,1,B1,SgDOM,10,2,6.477,6.557,2,0.08,0.040,0.6531,-0.6131
3,B,2,B2,SgDOM,10,3,6.557,6.628,1,0.071,0.071,0.6531,-0.5821
3,B,3,B3,SgDOM,15,1,6.5,6.573,2,0.073,0.037,0.6531,-0.6166
3,B,4,B4,SgDOM,15,2,6.474,6.483,0,0.009,,0.6531,-0.6531
3,C,1,C1,SgDOM,15,3,6.477,6.538,1,0.061,0.061,0.6531,-0.5921
3,C,2,C2,SgDOM,20,1,6.475,6.526,1,0.051,0.051,0.6531,-0.6021
3,C,3,C3,SgDOM,20,2,6.388,6.419,1,0.031,0.031,0.6531,-0.6221
3,C,4,C4,SgDOM,20,3,6.401,6.458,1,0.057,0.057,0.6531,-0.5961
4,A,1,A1,SgDOM,30,1,6.456,6.49,2,0.034,0.017,0.6531,-0.6361
4,A,2,A2,SgDOM,30,2,6.535,6.547,1,0.012,0.012,0.6531,-0.6411
4,A,3,A3,SgDOM,30,3,6.419,6.424,1,0.005,0.005,0.6531,-0.6481
4,A,4,A4,SgDOM,40,1,6.477,6.487,1,0.01,0.010,0.6531,-0.6431
4,B,1,B1,SgDOM,40,2,6.55,6.557,1,0.007,0.007,0.6531,-0.6461
4,B,2,B2,SgDOM,40,3,6.407,6.445,3,0.038,0.013,0.6531,-0.6404
4,B,3,B3,S+DOM,1,1,6.493,6.584,3,0.091,0.030,0.6531,-0.6227
4,B,4,B4,S+DOM,1,2,6.229,6.319,3,0.09,0.030,0.6531,-0.6231
4,C,1,C1,S+DOM,1,3,6.496,6.606,4,0.11,0.027,0.6531,-0.6256
4,C,2,C2,S+DOM,5,1,6.48,6.822,4,0.342,0.085,0.6531,-0.5676
4,C,3,C3,S+DOM,5,2,6.289,6.586,3,0.297,0.099,0.6531,-0.5541
4,C,4,C4,S+DOM,5,3,6.539,6.907,4,0.368,0.092,0.6531,-0.5611
5,A,1,A1,S+DOM,10,1,6.34,6.716,4,0.376,0.094,0.6531,-0.5591
5,A,2,A2,S+DOM,10,2,6.375,6.856,4,0.481,0.120,0.6531,-0.5328
